especie_key,tipo_especie,nombre_comun,nombre_cientifico
1,AVES,MARTINICA,PORPHYRULA MARTINICA (LINNAEUS)
2,ARACNIDOS,TARANTULA,ARAÑA POLLERA
3,AVES,CHOLIBA,OTUS CHOLIBA
4,AVES,LORA CABECIAZUL,PIONUS MENSTRUUS
5,REPTILES,IGUANA,IGUANA IGUANA
6,MAMIFEROS,HOFFMANNI,CHOLOEPUS HOFFMANNI W.H. PETERS
7,REPTILES,TORTUGA ICOTEA,TRACHEMYS SCRIPTA
8,AVES,GUACAMAYEJA,ARA SEVERA
9,AVES,GUACAMAYA AZUL AMARILLA,ARA ARARAUNA
10,AVES,GUACAMAYA BANDERA,ARA MACAO
11,AVES,LORA FRENTIAMARILLA,AMAZONA OCHROCEPHALA
12,AVES,LORA FRENTIAMARILLA,AMAZONA AMAZONICA
13,AVES,MOCHO ORELHUDO,RHINOPTYNX CLAMATOR
14,REPTILES,TORTUGA MORROCOY,GEOCHELONE CARBONARIA
15,MAMIFEROS,NOVEMCINCTUS,DASYPUS NOVEMCINCTUS LINNAEUS
16,MAMIFEROS,NASUA,NASUA NASUA
17,MAMIFEROS,PUERCO ESPIN,COENDU SP.
18,REPTILES,BOA,BOA CONSTRICTOR
19,MAMIFEROS,NOVENCNCTUS,DASYPUS NOVENCNCTUS
20,MAMIFEROS,TITI PIEL ROJA,SAGUINUS LEUCOPUS
21,AVES,IGNOBILIS,TURDUS IGNOBILIS
22,AVES,VITRIOLINA,TANGARA VITRIOLINA
23,AVES,MIRLA PANTANERA,TURDUS FUSCATER
24,AVES,TURPIAL,ICTERUS CHRYSATER
25,AVES,CANARIO SILVESTRE,SICALIS FLAVEOLA
26,AVES,SPIZA,CHLOROPHANES SPIZA
27,MAMIFEROS,FLAVUS,POTOS FLAVUS (SCHREBER)
28,AVES,TUCAN CONFITE,RAMPHASTOS SULPHURATUS
29,AVES,PERICO REAL,BROTOGERIS JUGULARIS
30,AVES,FLAMINGO ROSADO,PHOENICOPTERUS RUBER
31,AVES,PERICO REAL,BOTOGERIS JUGULARIS
32,AVES,MAGNIROSTRIS,BUTEO MAGNIROSTRIS
33,REPTILES,TORTUGA PIMPANO,KINOSTERNON SP.
34,REPTILES,BABILLA,CAIMAN COCODRYLUS
35,MAMIFEROS,MONO MAICERO,CEBUS ALBIFRONS
36,REPTILES,TORTUGA PALMERA,RHINOCLEMMYS MELANOSTERNA
37,MAMIFEROS,LONGICAUDIS ANNECTENS,LUTRA LONGICAUDIS ANNECTENS FORSYTH-MAJOR
38,REPTILES,BOA CONSTRICTOR,BOA CONSTRICTOR
39,MAMIFEROS,PEREZOSO DE ANTIFAZ,BRADYPUS VARIEGATUS
40,REPTILES,TORTUGA CHARAPA,PODOCNEMYS EXPANSA
41,AVES,SULPHURATUS,PITANGUS SULPHURATUS
42,MAMIFEROS,ZORRO,DUSCICION THOUS
43,REPTILES,CORAIS,DRYMARCHON CORAIS MELANURUS
44,MAMIFEROS,MONO CARIBLANCO,CEBUS CAPUCHINUS
45,MAMIFEROS,GRANATENSIS,SCIURUS GRANATENSIS
46,AVES,SEGMENTATA SEGMENTATA,UROPSALIS SEGMENTATA SEGMENTATA (CASSIN)
47,AVES,CHILENSIS,VANELLUS CHILENSIS
48,AVES,AUTUMNALIS,AMAZONA AUTUMNALIS
49,REPTILES,PETOLAE,OXYRHOPHUS PETOLAE
50,AVES,NIGRICANS,SAYORNIS NIGRICANS
51,AVES,LORA CARISUCIA,ARATINGA PERTINAX
52,MAMIFEROS,ZARIGÜEYA,CALUROMYS DERBIANUS
