ubicacion_key,departamento,municipio,lugar_decomiso
1,RISARALDA,PEREIRA,TRAMO URBANO
2,RISARALDA,PEREIRA,AVENIDA DE LAS AMERICAS
3,RISARALDA,LA VIRGINIA,BALSILLAS
4,RISARALDA,PUEBLO RICO,SANTA CECILIA
5,RISARALDA,PEREIRA,CENTRO
6,RISARALDA,PEREIRA,VIA CERRITOS
7,RISARALDA,LA VIRGINIA,LIBERTADORES
8,RISARALDA,DOSQUEBRADAS,EL CHAQUIRO
9,RISARALDA,PEREIRA,CORALES
10,RISARALDA,PEREIRA,VDA CONGOLO
11,RISARALDA,PEREIRA,ARABIA
12,RISARALDA,MISTRATO,CENTRO POBLADO
13,RISARALDA,QUINCHÍA,LA CEIBA
14,RISARALDA,PEREIRA,SAMARIA
15,RISARALDA,PEREIRA,LA HONDA
16,RISARALDA,PEREIRA,VILLA CECILIA
17,RISARALDA,DOSQUEBRADAS,LA ROMELIA
18,RISARALDA,PEREIRA,AVENIDA DEL RIO
19,RISARALDA,PEREIRA,ZOOLOGICO MATECAÑA
20,RISARALDA,SANTUARIO,LA BRETAÑA
21,RISARALDA,PEREIRA,LA FLORIDA
22,RISARALDA,PEREIRA,CERRITOS
23,RISARALDA,SANTA ROSA DE CABAL,ALTO DE LA CRUZ
24,RISARALDA,PEREIRA,MORELIA
25,RISARALDA,PEREIRA,ALTAGRACIA
26,RISARALDA,PEREIRA,CANTAMONOS
27,RISARALDA,LA CELIA,VIA CELIA - BALBOA
28,RISARALDA,LA CELIA,ZONA URBANA
29,RISARALDA,APÍA,ZONA URBANA
30,RISARALDA,DOSQUEBRADAS,ZONA URBANA
31,RISARALDA,PEREIRA,COROSITO
32,RISARALDA,BELÉN DE UMBRÍA,SANTA HELENA
33,RISARALDA,PEREIRA,CONVENCION
34,RISARALDA,PEREIRA,TRIBUNAS
35,RISARALDA,PEREIRA,PANORAMA
36,RISARALDA,SANTA ROSA DE CABAL,TRAMO URBANO
37,RISARALDA,SANTUARIO,CORINTO
38,RISARALDA,LA VIRGINIA,ZONA URBANA
39,RISARALDA,PEREIRA,GALICIA
40,RISARALDA,LA VIRGINIA,LA PLAYA
41,RISARALDA,SANTUARIO,LA MARINA
42,RISARALDA,PEREIRA,CUBA
43,RISARALDA,PEREIRA,BELMONTE
44,RISARALDA,DOSQUEBRADAS,LA UNIÓN
45,RISARALDA,PEREIRA,SAN JUDAS
46,RISARALDA,SANTUARIO,ZONA URBANA
47,RISARALDA,DOSQUEBRADAS,MILÁN
48,RISARALDA,PEREIRA,VILLA SANTANA
49,RISARALDA,PEREIRA,NACEDEROS
50,RISARALDA,PEREIRA,CAIMALITO
51,RISARALDA,PEREIRA,SECTOR ROCIO BAJO
52,RISARALDA,PEREIRA,PINARES
53,RISARALDA,DOSQUEBRADAS,GUADALUPE
54,RISARALDA,LA VIRGINIA,CENTRO
55,RISARALDA,PEREIRA,TERMINAL DE TRANSPORTE
56,RISARALDA,PEREIRA,ASOCIACIÓN PROTECTORA DE ANIMALES
57,RISARALDA,PEREIRA,ZONA URBANA
58,RISARALDA,SANTA ROSA DE CABAL,ZONA RURAL
59,RISARALDA,BALBOA,ZONA URBANA
60,RISARALDA,DOSQUEBRADAS,BOMBAY
61,RISARALDA,PEREIRA,ALAMOS
62,RISARALDA,SANTA ROSA DE CABAL,CENTRO
63,RISARALDA,PEREIRA,PARQUES NATURALES DE LA REGION
64,RISARALDA,PEREIRA,AVENIDA 30 DE AGOSTO
65,RISARALDA,DOSQUEBRADAS,LA PRADERA
66,RISARALDA,DOSQUEBRADAS,LOS LIBERTADORES
67,RISARALDA,PEREIRA,SAN NICOLAS
68,RISARALDA,SANTA ROSA DE CABAL,VILLA HERMOSA
69,RISARALDA,PEREIRA,PERLA DEL SUR
70,RISARALDA,PEREIRA,SAN FERNANDO
71,RISARALDA,DOSQUEBRADAS,AGUAZUL
72,RISARALDA,PEREIRA,MUNDO NUEVO
73,RISARALDA,PEREIRA,PUERTO CALDAS
74,RISARALDA,SANTA ROSA DE CABAL,EL OBITO
75,RISARALDA,PEREIRA,VILLA OLIMPICA
76,RISARALDA,PEREIRA,COMBIA BAJA
77,RISARALDA,PEREIRA,PARQUE INDUSTRIAL
78,RISARALDA,DOSQUEBRADAS,BOSQUES DE LA ACUARELA
79,RISARALDA,PEREIRA,VÍA A ARMENIA
80,RISARALDA,PEREIRA,GAMMA
81,RISARALDA,PEREIRA,JARDIN ETAPA 1
82,RISARALDA,PEREIRA,POBLADO
83,RISARALDA,PEREIRA,EL BOSQUE
84,RISARALDA,SANTA ROSA DE CABAL,SAN RAMÓN
85,RISARALDA,DOSQUEBRADAS,SAN FERNANDO
86,RISARALDA,PEREIRA,EL CONTENTO
87,RISARALDA,PEREIRA,COMBIA
88,RISARALDA,PEREIRA,SAN JOSE
89,RISARALDA,PEREIRA,CRUCERO CUBA
90,RISARALDA,DOSQUEBRADAS,JAPON
91,RISARALDA,PEREIRA,DORADO
92,RISARALDA,SANTA ROSA DE CABAL,BARRIOS UNIDOS
93,RISARALDA,SANTUARIO,PLAYA RICA
94,RISARALDA,BALBOA,TOTUI
95,RISARALDA,BALBOA,PUEBLO NUEVO
96,RISARALDA,DOSQUEBRADAS,SAN GREGORIO
97,RISARALDA,DOSQUEBRADAS,LA NUEVA INDEPENDENCIA
98,RISARALDA,PEREIRA,BARRIO BELLOHORIZONTE
99,RISARALDA,PEREIRA,SAN LUIS
100,RISARALDA,SANTUARIO,EL CEDRAL
101,RISARALDA,PEREIRA,PAVAS
102,RISARALDA,SANTA ROSA DE CABAL,VDA LA TRAVESIA
103,RISARALDA,SANTUARIO,LA ESMERALDA
104,RISARALDA,LA CELIA,LA POLONIA
