tiempo_key,ubicacion_key,especie_key,autoridad_key,situacion,cantidad
1,1,1,1,ENTREGA VOLUNTARIA,1
1,2,2,2,ENTREGA VOLUNTARIA,1
1,3,3,2,ENTREGA VOLUNTARIA,1
1,4,4,1,ENTREGA VOLUNTARIA,2
1,5,5,1,ENTREGA VOLUNTARIA,1
1,6,5,1,ENTREGA VOLUNTARIA,1
1,7,5,1,ENTREGA VOLUNTARIA,1
1,1,5,1,ENTREGA VOLUNTARIA,1
1,8,6,3,ENTREGA VOLUNTARIA,1
1,9,7,2,ENTREGA VOLUNTARIA,1
1,10,8,3,ENTREGA VOLUNTARIA,1
1,10,9,3,ENTREGA VOLUNTARIA,1
1,11,10,3,ENTREGA VOLUNTARIA,1
1,11,11,3,ENTREGA VOLUNTARIA,1
1,11,9,3,ENTREGA VOLUNTARIA,2
1,11,12,3,ENTREGA VOLUNTARIA,1
1,2,13,2,ENTREGA VOLUNTARIA,1
1,12,14,1,ENTREGA VOLUNTARIA,1
1,13,15,1,ENTREGA VOLUNTARIA,1
1,13,16,1,ENTREGA VOLUNTARIA,1
1,14,6,1,ENTREGA VOLUNTARIA,1
1,15,5,1,ENTREGA VOLUNTARIA,1
1,16,5,1,ENTREGA VOLUNTARIA,1
1,17,6,1,ENTREGA VOLUNTARIA,1
1,18,5,1,ENTREGA VOLUNTARIA,1
1,1,5,1,ENTREGA VOLUNTARIA,1
1,1,17,1,ENTREGA VOLUNTARIA,1
1,19,18,1,ENTREGA VOLUNTARIA,1
1,20,4,1,ENTREGA VOLUNTARIA,1
1,18,5,1,ENTREGA VOLUNTARIA,1
1,1,5,1,ENTREGA VOLUNTARIA,1
1,21,5,1,ENTREGA VOLUNTARIA,1
1,22,5,1,ENTREGA VOLUNTARIA,1
1,23,15,1,ENTREGA VOLUNTARIA,1
1,1,6,1,ENTREGA VOLUNTARIA,1
1,24,19,1,ENTREGA VOLUNTARIA,1
1,25,6,1,ENTREGA VOLUNTARIA,1
1,26,16,3,ENTREGA VOLUNTARIA,1
1,27,13,1,ENTREGA VOLUNTARIA,1
1,28,12,1,ENTREGA VOLUNTARIA,1
1,5,20,1,ENTREGA VOLUNTARIA,1
1,11,6,1,ENTREGA VOLUNTARIA,1
1,29,21,1,ENTREGA VOLUNTARIA,1
1,29,22,1,ENTREGA VOLUNTARIA,1
1,29,23,1,ENTREGA VOLUNTARIA,1
1,29,24,1,ENTREGA VOLUNTARIA,1
1,29,25,1,ENTREGA VOLUNTARIA,3
1,29,26,1,ENTREGA VOLUNTARIA,1
1,30,5,1,ENTREGA VOLUNTARIA,1
1,31,5,1,ENTREGA VOLUNTARIA,1
1,11,27,1,ENTREGA VOLUNTARIA,1
1,19,28,3,ENTREGA VOLUNTARIA,1
1,19,29,3,ENTREGA VOLUNTARIA,1
1,19,23,3,ENTREGA VOLUNTARIA,2
1,19,30,3,ENTREGA VOLUNTARIA,1
1,32,10,1,ENTREGA VOLUNTARIA,1
1,1,5,1,ENTREGA VOLUNTARIA,1
1,33,15,1,ENTREGA VOLUNTARIA,1
1,34,14,1,ENTREGA VOLUNTARIA,1
1,18,31,1,ENTREGA VOLUNTARIA,1
1,35,15,1,ENTREGA VOLUNTARIA,1
1,36,32,1,ENTREGA VOLUNTARIA,1
1,5,33,1,ENTREGA VOLUNTARIA,1
1,37,34,1,ENTREGA VOLUNTARIA,1
1,20,15,1,ENTREGA VOLUNTARIA,1
1,38,5,1,ENTREGA VOLUNTARIA,1
1,9,5,1,ENTREGA VOLUNTARIA,1
1,7,14,1,ENTREGA VOLUNTARIA,1
1,19,3,4,ENTREGA VOLUNTARIA,1
1,39,35,1,ENTREGA VOLUNTARIA,1
1,25,6,1,ENTREGA VOLUNTARIA,1
1,1,16,1,ENTREGA VOLUNTARIA,1
1,40,33,1,ENTREGA VOLUNTARIA,1
1,41,36,1,ENTREGA VOLUNTARIA,1
1,20,14,1,ENTREGA VOLUNTARIA,1
1,42,6,1,ENTREGA VOLUNTARIA,1
1,43,5,1,ENTREGA VOLUNTARIA,1
1,43,33,1,ENTREGA VOLUNTARIA,1
1,44,14,1,ENTREGA VOLUNTARIA,1
1,45,5,1,ENTREGA VOLUNTARIA,1
1,43,5,1,ENTREGA VOLUNTARIA,1
1,41,37,1,ENTREGA VOLUNTARIA,1
1,46,38,1,ENTREGA VOLUNTARIA,1
1,25,33,1,ENTREGA VOLUNTARIA,1
1,11,6,1,ENTREGA VOLUNTARIA,1
1,47,20,1,ENTREGA VOLUNTARIA,1
1,21,7,1,ENTREGA VOLUNTARIA,2
